Timestamp,X,Y
1731313257.059918,0.12,-1.88
1731313257.5612178,0.12,-1.88
1731313258.0838435,0.12,-1.88
1731313258.599545,0.12,-1.88
1731313259.1060264,0.12,-1.88
1731313259.607156,0.12,-1.88
1731313260.1077259,0.12,-1.88
1731313260.6107194,0.12,-1.88
1731313261.1123996,0.12,-1.88
1731313261.6142523,0.12,-1.88
1731313262.1170137,0.12,-1.88
1731313262.6210134,0.12,-1.88
1731313263.1222196,0.12,-1.88
1731313263.6259518,0.12,-1.88
1731313264.1277914,0.12,-1.88
1731313264.6290402,0.12,-1.88
1731313265.1319077,0.12,-1.88
1731313265.6349669,0.12,-1.88
1731313266.1387832,0.12,-1.88
1731313266.6403491,0.12,-1.88
1731313267.1422749,0.12,-1.88
1731313267.6442037,0.12,-1.88
1731313268.146659,0.12,-1.88
1731313268.6568444,0.12,-1.88
1731313269.2099497,0.12,-1.88
1731313269.7244859,0.12,-1.88
1731313270.2247224,0.12,-1.88
1731313270.728011,0.12,-1.88
1731313271.2291229,0.12,-1.88
1731313271.7308831,0.12,-1.88
1731313272.2334845,0.12,-1.88
1731313272.7374668,0.12,-1.88
1731313273.2393239,0.12,-1.88
1731313273.7420504,0.12,-1.88
1731313274.2446659,0.12,-1.88
1731313274.745542,0.12,-1.88
1731313275.2482316,0.12,-1.88
1731313275.7563655,0.12,-1.88
1731313276.2814784,0.13999999999999999,-1.88
1731313276.810964,0.15,-1.88
1731313277.333745,0.16999999999999998,-1.88
1731313277.857781,0.19,-1.89
1731313278.386552,0.2,-1.89
1731313278.9249387,0.22,-1.9
1731313279.4555557,0.24,-1.9
1731313279.9911296,0.25,-1.91
1731313280.519045,0.27,-1.92
1731313281.0441272,0.28,-1.93
1731313281.5737739,0.29000000000000004,-1.94
1731313282.1109364,0.31,-1.95
1731313282.617571,0.32,-1.96
1731313283.1477988,0.32999999999999996,-1.97
1731313283.6910024,0.33999999999999997,-1.99
1731313284.2375417,0.35,-2.0
1731313284.7699926,0.36,-2.01
1731313285.3013043,0.36,-2.03
1731313285.8425744,0.37,-2.04
1731313286.373603,0.38,-2.06
1731313286.9015489,0.38,-2.08
1731313287.4188263,0.39,-2.11
1731313287.9447582,0.39,-2.12
1731313288.4679618,0.39,-2.1399999999999997
1731313288.9944866,0.39,-2.16
1731313289.5323043,0.39,-2.1799999999999997
1731313290.0564938,0.39,-2.1999999999999997
1731313290.5843759,0.39,-2.21
1731313291.131772,0.38,-2.23
1731313291.661206,0.38,-2.25
1731313292.185676,0.37,-2.26
1731313292.7137895,0.36,-2.28
1731313293.2410042,0.35,-2.29
1731313293.7667341,0.35,-2.3
1731313294.2825515,0.29000000000000004,-2.37
1731313294.810816,0.27,-2.38
1731313295.3364625,0.26,-2.3899999999999997
1731313295.8644538,0.25,-2.3899999999999997
1731313296.3894908,0.22999999999999998,-2.4
1731313296.8901992,0.18,-2.42
1731313297.427979,0.04999999999999999,-2.41
