x,y
-0.94235644313784,-0.016449166794053116
-0.9421773162308881,-0.024660612149351283
-0.9431759064877457,-0.03291378013122315
-0.9413546840813923,-0.041066366028803016
-0.9417100504009198,-0.04930736301180264
-0.9412446086093476,-0.05751192778125852
-0.9407076866409367,-0.06571212496897152
-0.9398500529201922,-0.07388773491075659
-0.9404157610038826,-0.0821839841983289
-0.9409080958071927,-0.09049569032317949
-0.9400837529526445,-0.09869170257452094
-0.9381944439437474,-0.10676715056561877
-0.9382209592108621,-0.11506062063119658
-0.9371826497882643,-0.12323228334504674
-0.9385488954573246,-0.13174210000161876
-0.9386015362060244,-0.14010052834220485
-0.9373450045883766,-0.14827455676308804
-0.9362638509631667,-0.15647853299960732
-0.9358495752816894,-0.16480500942411164
-0.9370819096400541,-0.17345463929664837
-0.9355347746965964,-0.18161415859334745
-0.9366115055313071,-0.19030745737095248
-0.9363848410638637,-0.19877371581774406
-0.9346170920563677,-0.206926199187753
-0.9352144525670504,-0.21562463635375628
-0.9357310016422349,-0.22434915656971516
-0.9347107623254336,-0.23273658385944088
-0.9326471109047564,-0.2408731890322513
-0.9165054706574801,-0.24524339123990993
-0.6984294070023547,-0.19999644175231523
-0.696660038101708,-0.20607524012208422
-0.6833607792353434,-0.20863439244829823
-0.6738859946821069,-0.21217895138841097
-0.6720113944731712,-0.21804340608971018
-0.6658177247260006,-0.22246525175124146
-0.6598346873255705,-0.2268770797309517
-0.6578325353067522,-0.2326185276309019
-0.65460564246951,-0.2379153368253487
-0.6532101304555376,-0.24387312262598604
-0.6498929002237057,-0.24910879221941015
-0.6476973896946533,-0.2547627592583447
-0.6442935021213576,-0.2599297229314043
-0.6429279734194885,-0.26591668026025334
-0.6431181993329697,-0.27258246527990077
-0.6407183870961133,-0.2781765035518
-0.6428387743460426,-0.2857805485952731
-0.6480606746475877,-0.29489214914902806
-0.6454662592550419,-0.30052841099923017
-0.6500455686318675,-0.30958165304294666
-0.6493459127394301,-0.3162197433230188
-0.9311780688139496,-0.47371923630950363
-0.9270145325729313,-0.4818159058066947
-0.9342629213970417,-0.495971599950736
-0.9299053520476338,-0.50409430713726
-0.9272270388754175,-0.5131471504398182
-0.905088500278382,-0.5112485234193362
-0.8765569340139433,-0.5052583192748004
-0.8721206276474328,-0.5128778008416514
-0.8438213384223907,-0.5061833682695738
-0.8169862610658016,-0.49981852172429175
-0.8125996212287421,-0.5069190872396103
-0.7878999846036062,-0.5011014146702253
-0.765672580709371,-0.4963887515458454
-0.7454656373579557,-0.49256794524999453
-0.7411448976529174,-0.49904552683332554
-0.7211007383611625,-0.49473622696298025
-0.7020088222328167,-0.4906892235929598
-0.6977061045605673,-0.49678817649163803
-0.6789814740691892,-0.49242839923157794
-0.6603869057914282,-0.48778079274877767
-0.6437241120021331,-0.48419982524553
-0.6394801586699485,-0.48979110833925316
-0.6237535049906514,-0.48642838999208543
-0.6073516803944145,-0.482207616678238
-0.603126469063425,-0.48748201154043724
-0.5882374375721976,-0.48398321601671723
-0.5740309883280906,-0.4807441565898202
-0.5603069527617559,-0.4776192590461996
-0.5561235125492722,-0.482483861610795
-0.5430899745391554,-0.4795347018162466
-0.5301507389646956,-0.4763956146158865
-0.525979107142343,-0.4809974703673655
-0.5135319725158348,-0.4778986934455757
-0.5020870409586954,-0.4754796152436609
-0.4910838272188341,-0.4732448090346826
-0.4869411361865773,-0.4775063397730925
-0.4758598109932341,-0.47484467590818935
-0.4652132348491473,-0.47238292695836753
-0.46107903693582497,-0.4764190437617859
-0.45019055551718934,-0.4733539889043548
-0.43956175186385804,-0.470318556030455
-0.4302042258341627,-0.468423201354498
-0.426105863879679,-0.47215438604350624
-0.4165014094254068,-0.4696771366629217
-0.4076298739684868,-0.4678227984632389
-0.40353760133715466,-0.47135728404321525
-0.3944260008767615,-0.4689250310397535
-0.3849100971470183,-0.4657921170712817
-0.3759518240424397,-0.46311170524819767
-0.371901808606864,-0.4663703145502237
-0.3635071147364291,-0.464082793628473
-0.35579060510029586,-0.46247738063343813
-0.34828065391901564,-0.46097253715585673
-0.3442503307521318,-0.46399009007004965
-0.3368081183931446,-0.462324909487436
-0.32883954169578383,-0.4597522105847211
-0.3248205911417432,-0.4626003922291456
-0.31694638358116484,-0.45985566309458487
-0.3101254908032038,-0.45845875088066634
-0.3061185225659845,-0.4611438999347251
-0.2994958526360274,-0.459813851941535
-0.29291984012569616,-0.45840375154034774
-0.28612575256365963,-0.456490534965402
-0.28213684744138023,-0.45896661546234363
-0.2754162464122903,-0.45691154286369046
-0.2690074568772718,-0.45520495731670063
-0.26503040479186674,-0.4575319109713942
-0.25868823980367656,-0.455693299373156
-0.25264147738001475,-0.45421618797209223
-0.2469991004337727,-0.45332716845004806
-0.24303924783098757,-0.45546240380933634
-0.23732440606615726,-0.454239324658702
-0.23073882025866016,-0.45117086204730233
-0.2250081532681332,-0.44958744738492745
-0.22108172510681431,-0.45153118685980664
-0.21584280660289867,-0.4507348817887459
-0.2106346545677712,-0.44988176441448413
-0.20670620738793885,-0.45170023631261047
-0.20123139914720609,-0.4500610233096174
-0.19560087376740126,-0.44790274744509717
-0.19169024337998153,-0.4495902841258481
-0.1865164889567541,-0.4482430780133605
-0.18175697583874056,-0.44776663188508603
-0.17674398566189833,-0.4465440929497902
-0.1728459111484022,-0.4480673547752423
-0.16770353086487658,-0.446280265391069
-0.1630350186453879,-0.44561175158181865
-0.15839095230068986,-0.44489592318389254
-0.15450793748075559,-0.44625931193848534
-0.14981586322915516,-0.44521933642780326
-0.14530905292353838,-0.4446069654005162
-0.14142905293103622,-0.44585636423765634
-0.13687671259445905,-0.4449213558436159
-0.13235146752004592,-0.44394105681649515
-0.1284777625342794,-0.4450775633709721
-0.12405638571649101,-0.44425396144682316
-0.11939860318807839,-0.4424217709190175
-0.11484527700559159,-0.4407843218980118
-0.11099974579633771,-0.4417683923898693
-0.10649890928066735,-0.44004606855107786
-0.10220663163084714,-0.4390095225989006
-0.09815879753451538,-0.43890764238330754
-0.09433025406305012,-0.43974637149645224
-0.09024303371762153,-0.43932727151310075
-0.08597763030391421,-0.4378891436650641
-0.08215842496881298,-0.43862175990144814
-0.07798190744415637,-0.43735211625869147
-0.07391726330357451,-0.4365361460499921
-0.06999154171634561,-0.4364231725785229
-0.06618571844735109,-0.43701653532668777
-0.06230430999221486,-0.43708172017850005
-0.05826118446996182,-0.4358734730543922
-0.05446059691640276,-0.43636463366300665
-0.05048308707167519,-0.4353326601774086
-0.046607608404084455,-0.4350103226807974
-0.04266818992468594,-0.4339071518434641
-0.038885329761594194,-0.4342625035409898
-0.03505926533948495,-0.4340865056455818
-0.031257178859110064,-0.43412620689705983
-0.027472843051485823,-0.4343821101745877
-0.02364560541216415,-0.433856131696401
-0.019818194680548278,-0.4330467435872265
-0.016006690884541243,-0.4322037019410734
-0.012239687629711084,-0.4323267793826431
-0.008471754866198252,-0.43241702498182066
-0.004692304153400569,-0.43147447408649237
-0.0009320853006346961,-0.431498981138398
0.0028183729299940128,-0.4299907707442415
0.006561559753392118,-0.42969990055864343
0.010305886943030043,-0.42962640433383853
0.014049431481044334,-0.42952028133903625
0.017771209039330015,-0.4288819747514918
0.02149545577952831,-0.42846112658412977
0.02522842074222553,-0.4282575374698787
0.028942594878285002,-0.4277720138780109
0.032650221834042356,-0.427254268736594
0.03637224619736363,-0.42695351836706097
0.04009150837265595,-0.4266203442123443
0.04385884278643675,-0.42675214530491345
0.04760379211858427,-0.42660220711265595
0.05131956635337211,-0.4261711701262307
0.05499939084236895,-0.4254598202179375
0.05877335290516053,-0.4254596980466828
0.06247874673975129,-0.42493136843438506
0.06633347855276886,-0.42535881351974425
0.0701190497321586,-0.4252579381178622
0.07382225454171662,-0.42463074523870087
0.07751985312759908,-0.42397130497083396
