x,y
-0.9338577577962244,-0.016300819219488956
-0.9336802463536008,-0.024438209273544446
-0.9331819398128411,-0.03256502310773057
-0.9318636843372303,-0.04065232350470023
-0.9314740398896886,-0.0487714117539234
-0.9315127498270268,-0.056917291748980824
-0.9322283097484623,-0.06511980720445221
-0.9328716155314701,-0.07333911448958715
-0.9324461198080304,-0.08148750834874606
-0.9317005991550334,-0.08961012161631159
-0.9308843231181768,-0.09772592969500157
-0.9309909278226809,-0.10594738564879959
-0.9310249195350929,-0.11417811978419234
-0.9299945738184082,-0.1222871068473564
-0.9308741601023295,-0.13066481382343723
-0.9314309656849102,-0.13903021183432454
-0.9301840335066718,-0.14714179368446115
-0.9305925128679983,-0.15553067768685142
-0.9321563783948146,-0.16415462995734392
-0.9336403856591254,-0.1728176103511509
-0.9320989327184412,-0.18094716302375496
-0.9314666569562808,-0.1892620900600775
-0.9312492975921115,-0.19768355393786577
-0.9294912436923074,-0.20579132552815188
-0.9310731115174145,-0.21466980171086392
-0.9311118956120056,-0.2232416881411077
-0.9305866912568889,-0.23170971838321727
-0.9285321449470787,-0.23981042374686545
-0.929305145096208,-0.24866839596341536
-0.9302349697498952,-0.25762471351076544
-0.9279546031903941,-0.2657213698121602
-0.9294394792796896,-0.27493246834339613
-0.9308339396005049,-0.28418952237223016
-0.9316605265482726,-0.2933415371931547
-0.9290688552099352,-0.3014492601582362
-0.9292519665181503,-0.31048478434074306
-0.9291115972849567,-0.31946505690775034
-0.9262923719608814,-0.3275495755478245
-0.927632101263077,-0.33714635118240754
-0.9291088420947632,-0.3468786903581055
-0.926050723538217,-0.3549621440626742
-0.9261793634980653,-0.36429977018147663
-0.9271427567500449,-0.37404064931032766
-0.9286994063847934,-0.3841124874253704
-0.9253168332148949,-0.3921909593357956
-0.9262210703328443,-0.40213133265761314
-0.9261081834137085,-0.4117108601356269
-0.9224852054066924,-0.41976570315502126
-0.9237782882018507,-0.43011019877213286
-0.9258635313591407,-0.44093887622925526
-0.9262562968354253,-0.4510701040697292
-0.9222903210524745,-0.4591247432949731
-0.921819535836063,-0.4689582596029661
-0.9239089697149364,-0.4802017891678634
-0.919689217938095,-0.4882348666862575
-0.9222129517072439,-0.4999243179966742
-0.9235085670578053,-0.5110892691041825
-0.9190196646636191,-0.5191176845226692
-0.9205255825961786,-0.5306023951943357
-0.9225472177100302,-0.542532733651822
-0.9248590606829116,-0.554795491882631
-0.9199892335494538,-0.5628340164681384
-0.9226855108679172,-0.5755932992820282
-0.9254397311008594,-0.5885761740177994
-0.920275503579589,-0.5966184761074668
-0.9223416637610234,-0.6094391416181085
-0.9236316397715384,-0.6219218937206716
-0.9258043536425555,-0.6351802577098671
-0.9202339857006702,-0.6432239676577218
-0.9231470103568763,-0.6573090258365204
-0.9248719628645474,-0.6707594206335403
-0.9189915793084411,-0.6787936543764539
-0.9202338089915757,-0.6921863593285331
-0.9213119585937173,-0.7056519255646311
-0.9232103940904599,-0.7199570696249823
-0.9169013456878587,-0.7279749557062026
-0.9188831699914899,-0.7426950052013048
-0.922028906668593,-0.758616312065437
-0.915383011068701,-0.766622434260206
-0.9179901533065726,-0.7825171090111789
-0.9194449645657414,-0.7976957403018907
-0.9210790898502041,-0.8132895236655722
-0.9139567861410616,-0.8212852927759974
-0.9156205365931841,-0.8373168362342294
-0.9179886933741532,-0.8542907173083396
-0.9105092062541136,-0.8622579986109068
-0.9130415149139774,-0.879874541609891
-0.9147996301338123,-0.8970748013443697
-0.9069474265312852,-0.9050126673192365
-0.9081481836899858,-0.9221442233097876
-0.9105094103730826,-0.9408018753332036
-0.9129581837478026,-0.9599321724629042
-0.9045582858615001,-0.9678516045762087
-0.9072506503400882,-0.9878500222521682
-0.90966239285807,-1.0079680309868924
-0.9008440164840436,-1.0158569182895585
-0.9034535880286392,-1.0368626364854872
-0.9054394464353267,-1.0576101878069342
-0.9072924602014802,-1.078661508410664
-0.8978581226547415,-1.0865270588660583
-0.9004881834126864,-1.1092554723953791
-0.9029452362111042,-1.1323065499758007
-0.8930435794422036,-1.1401321800262827
-0.8951167144335324,-1.1635249147057511
-0.8976025207012109,-1.1880364489649258
-0.9003240815226685,-1.21348162764358
-0.8897151322746314,-1.2212813335999548
-0.7269315489654352,-1.035275560866175
-0.7178821423733895,-1.0415710218076597
-0.7026149084760202,-1.0386761580152
-0.6886975400848148,-1.0374696272804147
-0.6796304653100121,-1.043431818505998
-0.6686271916682968,-1.046365493409768
-0.6574917799958743,-1.0489750457498357
-0.6481947148483556,-1.0544518985466456
-0.6389811877241942,-1.0600604871612487
-0.6323901193383819,-1.070108318269645
-0.6273012820457645,-1.0829336903990268
-0.617840346572636,-1.0883591238210484
-0.6181756473329808,-1.1113986069928616
-0.7013418230412918,-1.3143343532586464
-0.6898615584866808,-1.3203962189528697
-0.6773043759828986,-1.324354518403348
-0.6611502803884619,-1.3210404271149359
-0.649613102548121,-1.3267517930372503
-0.633599612476711,-1.3231177398304375
-0.6178051275059502,-1.3195324453947626
-0.6023296123724535,-1.3162276628495462
-0.5908366083648872,-1.3214266247533404
-0.5751966305785333,-1.3171319033249866
-0.560264997326048,-1.3140454876165628
-0.5487926069034165,-1.3188779645449988
-0.5340815356293888,-1.31573431642569
-0.5194672175346552,-1.3124351394615512
-0.505491063080826,-1.3103812638222456
-0.494052683992243,-1.3147365579731287
-0.48017164288147174,-1.3124182069726473
-0.46594945484684824,-1.3087806459903273
-0.4545265256186947,-1.3127914195712627
-0.4409960525838914,-1.3105419257129223
-0.4273841072330068,-1.3076814359065667
-0.4135533697505703,-1.3037307259996334
-0.402176437076334,-1.3072850909454174
-0.3889833177581169,-1.3047506643125815
-0.37614240118399295,-1.3030468471523275
-0.36477284863826914,-1.3062752239625475
-0.3519425302330599,-1.3040942970007634
-0.33917806329811007,-1.3017894730338742
-0.3278208715884008,-1.304695775602684
-0.3150274140887288,-1.3016713128039734
-0.3023683818634381,-1.2987669865720024
-0.2901113455727031,-1.2972050382869715
-0.2787959675730916,-1.2996839279809884
-0.2665036633332361,-1.2974112508982978
-0.2542240508315889,-1.294778089652003
-0.2420566669880462,-1.292275519041143
-0.2307860714742748,-1.2943358282763746
-0.21895536048468306,-1.2930934527489208
-0.20724305930229164,-1.292237193490234
-0.1959741196834623,-1.2939941245163293
-0.18412580935612036,-1.2916927495495523
-0.17229943122835775,-1.2890357821942495
-0.16105971683241335,-1.2904883220675107
-0.14940459942945547,-1.2883661734081575
-0.13785199234923004,-1.2866362752218405
-0.12631644176551415,-1.2845543149175076
-0.11511752668752052,-1.2856063108443563
-0.10374886444477394,-1.2845671920229311
-0.09244297184980046,-1.2839263870977564
-0.08125081499804933,-1.2846832199388587
-0.06993003808627561,-1.2830957501255502
-0.058608823479247306,-1.280659543529344
-0.04734464624381991,-1.2783736202110059
-0.03620259085050346,-1.278737659097853
-0.025038197365507504,-1.278004732986221
-0.013889329989483857,-1.2771745301896456
-0.002758994279916917,-1.2772470716362054
0.008361719351646533,-1.2757226378728985
0.01946328876383674,-1.2746013997725483
0.03056993475308239,-1.274383390899629
0.04166608676094935,-1.2738187543037411
0.05274437059953352,-1.2729077560051756
0.0638099366456733,-1.2719003319997093
0.07489136056212188,-1.2712959713099268
0.08598397198976054,-1.2708444772823992
0.09699820952340193,-1.2692991578841308
0.10805570557594697,-1.2684056801152357
0.11903482889207331,-1.2666692209023915
0.13019635444159383,-1.2668271673143952
0.1412310480123325,-1.2656444815322483
0.1524044650544432,-1.2656067426112714
0.16349177730075357,-1.264726410822437
0.17464374750193343,-1.2642442944817862
0.185654245172327,-1.2626743744611126
0.1966891622445503,-1.2612555606891531
0.2078761439783626,-1.2607270165497855
0.21885472881534437,-1.2588676297248245
0.23008648590747394,-1.258388190258513
0.2412793837024168,-1.257562979820375
0.2524260902802144,-1.256392961021657
0.2633652148182429,-1.254145512762639
0.2744448780715573,-1.252535504981588
0.2857946216879646,-1.2520461455567475
0.2966945993024275,-1.2495080756577954
0.308170769074961,-1.2493022989067426
0.3197898327227959,-1.2494756795260427
0.3314352648601182,-1.249541207873045
0.3423116804231983,-1.2466055023188254
0.3536401747194474,-1.2452585512820056
0.3653231099688613,-1.2450081575814884
