Timestamp,X,Y
1731213696.77278,12.0,-188.0
1731213697.2750587,12.0,-188.0
1731213697.7784638,12.0,-188.0
1731213698.2802804,12.0,-188.0
1731213698.782653,12.0,-188.0
1731213699.28605,12.0,-188.0
1731213699.787997,12.0,-188.0
1731213700.314954,12.0,-188.0
1731213700.826439,12.0,-188.0
1731213701.3284066,12.0,-188.0
1731213701.8312662,12.0,-188.0
1731213702.3341293,12.0,-188.0
1731213702.8360174,12.0,-188.0
1731213703.3389199,12.0,-188.0
1731213703.8416777,12.0,-188.0
1731213704.3437018,12.0,-188.0
1731213704.8464823,12.0,-188.0
1731213705.349735,12.0,-188.0
1731213705.8515027,12.0,-188.0
1731213706.3547888,12.0,-188.0
1731213706.8550527,12.0,-188.0
1731213707.377761,12.0,-188.0
1731213707.8954258,12.0,-188.0
1731213708.397392,12.0,-188.0
1731213708.9003026,12.0,-188.0
1731213709.4030309,12.0,-188.0
1731213709.9049892,12.0,-188.0
1731213710.4078085,12.0,-188.0
1731213710.910585,12.0,-188.0
1731213711.4125557,12.0,-188.0
1731213711.9153452,12.0,-188.0
1731213712.46765,12.0,-188.0
1731213712.987548,12.01,-188.0
1731213713.4913032,12.07,-187.99
1731213714.0254886,12.07,-187.99
1731213714.5452335,12.08,-187.99
1731213715.0632207,12.1,-187.99
1731213715.5858595,12.11,-187.99
1731213716.0937989,12.15,-187.97
1731213716.6092389,12.16,-187.97
1731213717.1127152,12.21,-187.95
1731213717.6332278,12.22,-187.94
1731213718.136133,12.25,-187.91
1731213718.6534345,12.26,-187.9
1731213719.1538312,12.28,-187.87
1731213719.656644,12.32,-187.8
1731213720.16384,12.32,-187.79
1731213720.6842992,12.32,-187.78
1731213721.2017114,12.32,-187.77
1731213721.7168982,12.32,-187.75
1731213722.2353067,12.32,-187.74
1731213722.7513282,12.31,-187.73
1731213723.2678847,12.31,-187.71
1731213723.786628,12.31,-187.7
1731213724.3040128,12.3,-187.68
1731213724.8245475,12.3,-187.67
1731213725.3441396,12.29,-187.66
1731213725.8442779,12.11,-187.51
1731213726.3815763,12.11,-187.52
1731213726.8969784,12.1,-187.51
1731213727.411419,12.09,-187.51
1731213727.9329278,12.08,-187.51
1731213728.4486942,12.07,-187.5
1731213728.9701269,12.05,-187.5
1731213729.4889033,12.04,-187.5
1731213730.0051372,12.03,-187.5
1731213730.5270758,12.01,-187.5
1731213731.0428312,12.0,-187.5
1731213731.561173,11.99,-187.5
1731213732.0817516,11.98,-187.5
1731213732.5969548,11.97,-187.5
1731213733.1174784,11.96,-187.5
1731213733.6696584,11.92,-187.51
1731213734.188417,11.91,-187.52
1731213734.7064152,11.9,-187.53
1731213735.230217,11.88,-187.53
1731213735.746327,11.87,-187.54
1731213736.2690065,11.86,-187.54
1731213736.7877758,11.85,-187.55
1731213737.3054461,11.84,-187.56
1731213737.828492,11.83,-187.57
1731213738.3443124,11.83,-187.58
1731213738.866122,11.82,-187.58
1731213739.3854518,11.81,-187.59
1731213739.8866231,11.81,-187.61
1731213740.4020832,12.12,-187.65
1731213740.9228508,12.13,-187.64
1731213741.4373174,12.14,-187.63
1731213741.9539633,12.15,-187.63
1731213742.4736812,12.16,-187.62
1731213742.9896076,12.17,-187.61
1731213743.507907,12.18,-187.61
1731213744.028187,12.18,-187.6
1731213744.5449097,12.19,-187.59
1731213745.0664499,12.2,-187.59
1731213745.5675764,12.23,-187.55
1731213746.0682852,12.28,-187.34
1731213746.5845444,12.28,-187.33
1731213747.105603,12.28,-187.32
1731213747.6247175,12.28,-187.31
1731213748.1406624,12.28,-187.3
1731213748.6618764,12.27,-187.28
1731213749.1774578,12.27,-187.28
1731213749.6971998,12.27,-187.28
1731213750.2167716,12.27,-187.27
1731213750.734953,12.26,-187.26
1731213751.258401,12.26,-187.25
1731213751.7818644,12.18,-187.17
1731213752.303111,12.17,-187.16
1731213752.8234453,12.16,-187.15
1731213753.346516,12.15,-187.15
1731213753.868101,12.12,-187.13
1731213754.390236,12.11,-187.13
1731213754.9152594,12.1,-187.13
1731213755.4380755,12.1,-187.12
1731213755.9602463,12.09,-187.12
1731213756.4824224,12.08,-187.12
1731213757.0085242,12.08,-187.12
1731213757.5309923,12.07,-187.12
1731213758.0562677,12.06,-187.11
1731213758.5816998,12.05,-187.11
1731213759.1065712,12.04,-187.11
1731213759.6283863,12.03,-187.11
1731213760.1539125,12.03,-187.11
1731213760.6744206,12.04,-187.11
1731213761.196266,12.04,-187.11
1731213761.719302,12.04,-187.11
1731213762.2407742,12.04,-187.11
1731213762.7627032,12.04,-187.11
1731213763.2852056,12.04,-187.11
1731213763.8112202,12.04,-187.1
1731213764.3344061,12.04,-187.1
1731213764.858579,12.04,-187.1
1731213765.3822224,12.04,-187.1
1731213765.9098651,12.04,-187.1
1731213766.4320476,12.05,-187.12
1731213766.956763,12.05,-187.13
1731213767.479161,12.06,-187.14
1731213768.0082586,12.06,-187.16
1731213768.5240276,12.31,-187.33
1731213769.044064,12.42,-187.33
1731213769.5676386,12.43,-187.32
1731213770.094724,12.44,-187.32
1731213770.6180766,12.45,-187.32
1731213771.1431992,12.46,-187.31
1731213771.6664002,12.47,-187.31
1731213772.1902158,12.48,-187.3
1731213772.7133424,12.49,-187.3
1731213773.2138796,12.56,-187.25
1731213773.7143393,12.63,-187.14
1731213774.24734,12.65,-187.07
1731213774.7710638,12.65,-187.06
1731213775.2994454,12.65,-187.05
1731213775.824214,12.65,-187.04
1731213776.330883,12.65,-187.01
1731213776.8542497,12.65,-187.0
1731213777.3803842,12.65,-186.99
1731213777.9041185,12.64,-186.98
1731213778.4296439,12.64,-186.97
1731213778.9532547,12.64,-186.96
1731213779.478498,12.63,-186.94
1731213780.0025578,12.63,-186.93
1731213780.5274224,12.62,-186.92
1731213781.0504537,12.62,-186.91
1731213781.57356,12.61,-186.9
1731213782.0962965,12.61,-186.88
1731213782.6205876,12.6,-186.87
1731213783.14405,12.6,-186.86
1731213783.6700013,12.59,-186.85
1731213784.1940372,12.58,-186.84
1731213784.718053,12.58,-186.83
1731213785.2181783,12.54,-186.8
1731213785.7191944,12.46,-187.01
1731213786.2606719,12.47,-187.07
1731213786.7819612,12.47,-187.08
1731213787.3040452,12.47,-187.09
1731213787.8268282,12.48,-187.11
1731213788.3503332,12.48,-187.12
1731213788.8725367,12.49,-187.13
1731213789.395474,12.49,-187.14
1731213789.919207,12.49,-187.15
1731213790.4421856,12.5,-187.16
1731213790.9670382,12.5,-187.17
1731213791.4909103,12.51,-187.18
1731213791.9917195,12.53,-187.2
1731213792.4929218,12.78,-187.27
1731213793.0147302,12.79,-187.27
1731213793.534558,12.8,-187.26
1731213794.056452,12.81,-187.26
1731213794.5801435,12.82,-187.26
1731213795.102658,12.84,-187.25
1731213795.6052554,13.02,-187.06
1731213796.1068642,13.02,-187.06
1731213796.6083062,13.02,-187.06
1731213797.1102777,13.02,-187.06
1731213797.6121228,13.02,-187.06
