x,y
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.27,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
0.28,-0.0
